name;image;description;positions;known_for;Producción;Equipos adicionales;Dirección;Banda sonora;Guion;Reparto;Música;Como sí mismos;Agradecimientos;IMDbPro;Animación;Arte;Sonido;Cámara y electricidad;metraje de archivo;Vestuario;Diseño de vestuario;Dirección o asistencia de la segunda unidad;Composición;sonido de archivo;Edición;Dirección de fotografía y cámara
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;3 días para matar;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;6,2;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;Dirección;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;2014;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
Blair Simmons;;;Dirección;Blaze y los Monster Machines;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;5,7;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Serie de TV;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Dirección;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;2014–2017 • 53 episodios;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Octonauts & the Great Barrier Reef;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;6,8;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Dirección;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;2020;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;AOK;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;8,0;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Serie de TV;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Dirección;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;2017–2020 • 58 episodios;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Slugterra;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;7,1;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Serie de TV;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;Dirección;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;2012–2013 • 6 episodios;;1;11;;;;;;1;;7;1;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;Bandwagon;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;7,1;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;Dirección;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;1996;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;Una pandilla de altura;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;5,3;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;Dirección;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;2002;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;Las aventuras de Zachary Beaver;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;5,7;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;Dirección;3;;13;;3;;;;1;;;;;;;;;;;;;
